PLUGIN_CLASS,THREAD_ID,DESCRIPTION,BLANK
mil.darpa.log.alpine.blackjack.plugins.AntsInventoryPlugin,CLASS-1,InventoryManagementPlugin, 
mil.darpa.log.alpine.blackjack.plugins.AntsInventoryPlugin,CLASS-3,InventoryManagementPlugin, 
mil.darpa.log.alpine.blackjack.plugins.AntsInventoryPlugin,CLASS-4,InventoryManagementPlugin, 
mil.darpa.log.alpine.blackjack.plugins.AntsInventoryPlugin,CLASS-5,InventoryManagementPlugin, 
mil.darpa.log.alpine.blackjack.plugins.AntsInventoryPlugin,CLASS-8,InventoryManagementPlugin, 
mil.darpa.log.alpine.blackjack.plugins.AntsInventoryPlugin,CLASS-9,InventoryManagementPlugin, 
mil.darpa.log.alpine.blackjack.plugins.AntsMEILDMPlugin,BASE,ProvidesMEIassetprototypes&PGsfromdatabase, 
mil.darpa.log.alpine.blackjack.plugins.AntsPartsLDMPlugin,BASE,ProvidesPartassetprototypes&PGsfromdatabase, 
mil.darpa.log.alpine.blackjack.plugins.SubsistenceConsumerLDMPlugin,CLASS-1,SubsistenceConsumerLDM, 
mil.darpa.log.alpine.blackjack.plugins.SubsistenceInventoryPlugin,CLASS-1,SubsistenceInventoryManager, 
mil.darpa.log.alpine.blackjack.plugins.SubsistenceLDMPlugin,CLASS-1,SubsistenceLDM, 
mil.darpa.log.alpine.blackjack.plugins.SubsistenceProjectionPlugin,CLASS-1,SubsistenceProjection, 
mil.darpa.log.alpine.blackjack.plugins.SupplyProjectionPlugin,CLASS-3,SupplyProjectorPlugin:Ammunition, 
mil.darpa.log.alpine.blackjack.plugins.SupplyProjectionPlugin,CLASS-5,SupplyProjectorPlugin:Ammunition, 
mil.darpa.log.alpine.blackjack.plugins.SupplyProjectionPlugin,CLASS-9,SupplyProjectorPlugin:Ammunition, 
mil.darpa.log.alpine.blackjack.plugins.TransportAggregatorPlugin,BASE,TransportAggregator(Obsolete, 
mil.darpa.log.alpine.blackjack.plugins.TransportAllocatorPlugin,BASE,TransportAllocator, 
mil.darpa.log.alpine.blackjack.plugins.TransportExpanderPlugin,BASE,TransportExpander, 
org.cougaar.glm.packer.AmmoPacker,BASE,Packsammo, 
org.cougaar.mlm.construction.ConstructionInventoryPlugin,CLASS-4,ConstructionInventoryPlugin, 
org.cougaar.mlm.construction.ConstructionProjectionPlugin,CLASS-4,ConstructionProjectionPlugin, 
org.cougaar.mlm.construction.DTConstructionExpanderPlugin,CLASS-4,ConstructionExpanderPlugin, 
org.cougaar.mlm.plugin.generic.GenericTablePlugin,BASE,RulebasedallocatorPlugin.Uses%ALLOCATION_RULE%, 
org.cougaar.mlm.plugin.generic.PropagationPlugin,BASE,RulebasedpolicypropagationPlugin.Uses%PROPAG, 
org.cougaar.mlm.plugin.generic.UniversalExpanderPlugin,BASE,GenericUniversalExpanderPlugin-Specializedforconstruction??, 
org.cougaar.mlm.plugin.ldm.GetOplanPlugin,BASE,RedeemstheOplancoupon, 
org.cougaar.mlm.plugin.ldm.LDMSQLPlugin,BASE,CreatesassetsbasedonresultsofanSQLquery, 
org.cougaar.mlm.plugin.organization.GLSInitServlet,BASE,ServletInitializestheGLSTask, 
org.cougaar.mlm.plugin.ldm.XMLPolicyPlugin,BASE,AninstanceofanLDMPluginthatreadsaCluster's, 
org.cougaar.mlm.plugin.organization.GLSAllocatorPlugin,BASE,ExpandsGLStaskforeachsubordinateandallocate, 
org.cougaar.mlm.plugin.organization.GLSExpanderPlugin,BASE,ExpandsGLStask, 
org.cougaar.mlm.plugin.organization.OrgReportPlugin,BASE,SubscribestoRFDtasksandRFStasksandgenerate, 
org.cougaar.mlm.plugin.organization.OrgRTDataPlugin,BASE,Reads*-prototype-ini.dat;createsorgassets, 
org.cougaar.mlm.plugin.organization.OrgTPRTDataPlugin,BASE,TimePhasedversion.Reads*-prototype-ini.datand*-relationship.ini.createsorgassets, 
org.cougaar.mlm.plugin.organization.OrgDataPlugin,BASE,Createsorgassets, 
org.cougaar.mlm.plugin.sample.StrategicTransportProjectorPlugin,BASE,ProjectsStrategicTransportrequirements, 
org.cougaar.mlm.plugin.sample.UniversalAllocatorPlugin,BASE,UniversalAllocator, 
org.cougaar.mlm.plugin.xml.XMLPrototypeProviderPlugin,BASE,Providesassetprototypes&PGsfromxmlfiles, 
org.cougaar.planning.ldm.trigger.TriggerManagerPlugin,BASE,Thispluginmanagestriggersthathavebeencreate, 
org.cougaar.glm.trans.plugins.GroundVishnuPlugin,BASE,VishnuGroundTransportationPlugin, 
org.cougaar.lib.plugin.UTILLdmXMLPlugin,STRATEGIC-TRANS,GLMTrans-style LDM plugin that populates cluster with assets, 
org.cougaar.glm.trans.plugins.base.GLMTransOneToManyExpanderPlugin,STRATEGIC-TRANS,Expands tasks with aggregate assets or asset groups into item assets, 
org.cougaar.glm.trans.plugins.TranscomVishnuPlugin,STRATEGIC-TRANS,Vishnu plugin that routes tasks to either GlobalSea or GlobalAir or allocates to a null asset, 
org.cougaar.glm.trans.plugins.SequentialGlobalAirPlugin,STRATEGIC-TRANS,Sequential backwards planning plugin that manages the air expansion, 
org.cougaar.glm.trans.plugins.SequentialGlobalSeaPlugin,STRATEGIC-TRANS,Sequential backwards planning plugin that manages the sea expansion, 
org.cougaar.glm.trans.plugins.TransportExpanderPlugin,STRATEGIC-TRANS,Expands incoming transport tasks into aggregates that are no larger than the largest asset, 
org.cougaar.glm.trans.plugins.GroundTransportAllocatorPlugin,STRATEGIC-TRANS,Handles allocations to truck/rail assets and to self-transportables, 
org.cougaar.glm.trans.plugins.GenericVishnuPlugin,STRATEGIC-TRANS,Generic Vishnu scheduler that maps cargo assets to transportation assets, 
org.cougaar.glm.trans.plugins.TransportAllocatorPlugin,STRATEGIC-TRANS,Handles allocations to generic transportation assets, 
org.cougaar.glm.trans.plugins.SeaVishnuPlugin,STRATEGIC-TRANS,Vishnu scheduler that uses a custom translation specific to ships, 
