TI_ID,SCL_CD,TI_NM,TI_CGO_CPCTY_QY,TI_BLCK_BRC_SRC_ID,FUEL_BURNER,BLANK
A21633,\N,AERIAL SCOUT HLCPTR,0,\N,YES,
C10908,\N,CARRIER AMMO TRKD VEH,13000,6980,YES,
C10990,\N,CARRIER 120MM MORTAR,0,6987,NO,
C11158,\N,CARRIER ARMD CMD POST,0,6987,NO,
C12155,\N,CARRIER PERS F/TRACK,400,6987,YES,
C12815,\N,CARRIER SMOKE GEN TRK,300,\N,YES,
C18234,\N,CARRIER PERS FTRAC,3120,6987,YES,
C30675,\N,COUNTERMEASURES SET,0,L988,NO,
C32887,\N,CLEANER STM TLR MTD,0,8000,YES,
C36151,\N,CRANE WHEEL MTD,0,8000,YES,
C39398,\N,CRANE WHEEL MTD R/T,0,\N,YES,
D11049,\N,CARRIER CARGO FTRAC,12000,6987,YES,
D11538,\N,CARRIER COMD P FTRAC,3000,6987,YES,
D12087,\N,CARRIER PERS FTRAC,2500,6987,YES,
D28318,\N,DIST WTR TK STLR MTD,0,6965,NO,
D78325,\N,DATA PROCESSING SYS,0,8000,NO,
E02670,\N,CHASSIS TLR 3-1/2 TON,7000,8055,NO,
E02807,\N,CHASSIS TLR 2-1/2 TON,5000,8052,YES,
E32466,\N,CLNR STM PRESSURE JET,0,8064,YES,
E40961,\N,CLOTH RPR SHP TLR MTD,0,8057,NO,
E56578,\N,CBT ENG VEH FTRAC,0,6980,YES,
E61618,\N,COMPACTOR HI SPEED,0,8085,YES,
E70338,\N,COMP UNIT RCP TLR MTD,0,8050,YES,
E72804,\N,COMP UNIT RTRY TLRMTD,0,8055,NO,
F40375,\N,FIGHTING VEHICLE HS,900,\N,YES,
F43003,\N,CRANE TRK MTD,0,\N,YES,
F43067,\N,CRANE WHEEL MTD 5 TON,0,\N,YES,
F43364,\N,CRANE SHOVEL CRWL MTD,0,\N,YES,
F43429,\N,CRANE TRK MTD HYD 25T,0,\N,YES,
F57713,\N,FIRE UNIT VEH MTD,0,\N,YES,
F60530,\N,FIGHTING VEH FTRAC,900,\N,NO,
F79334,\N,FLOODLIGHT ST TLR MTD,0,\N,YES,
G17460,\N,GEN SET DED TLR MTD,0,\N,YES,
G27844,\N,DISTR BITUM TRK MTD,0,M988,YES,
G34805,\N,DOLLY SET LIFT,6000,6089,NO,
G34815,\N,DOLLY SET LIFT,10500,6089,NO,
G35226,\N,DOLLY TLR CONV 8 TON,16000,6070,NO,
G35851,\N,GEN SET DED TLR MTD,0,\N,YES,
G35919,\N,GENERATOR SET DED,0,\N,YES,
G37273,\N,GEN SET DED TLR MTD,0,8000,YES,
G38140,\N,GEN SET GED WHL MTD,0,ZZZZ,YES,
G40744,\N,GEN SET DED TLR MTD,0,8050,YES,
G42170,\N,GEN SET DED TRL MTD,0,\N,YES,
G42238,\N,GEN SET DED TRL MTD,0,\N,YES,
G53403,\N,GEN SET DED TLR MTD,0,\N,YES,
G53778,\N,GEN SET DED TLR MTD,0,\N,YES,
G53871,\N,GEN SET TLR MTD,0,8054,YES,
G74783,\N,GRADER RD MTZ,0,3030,YES,
G78306,\N,GEN SET DED TLR MTD,0,\N,YES,
H01855,\N,ELCT SHOP STLRMTD L/P,20000,6065,NO,
H28647,\N,HELICOPTER ATTACK,0,8500,YES,
H30616,\N,HELICOPTER INT&ELEC,0,8500,YES,
H56391,\N,FIREFIGHT EQP TRKMTD,0,M988,YES,
H57642,\N,HOWITZER MED SELF PRO,0,\N,NO,
J35492,\N,GEN SET DED TLR MTD,0,8054,YES,
J36383,\N,GEN SET DED TLR MTD,0,8054,YES,
J46252,\N,GEN SET GED TLR MTD,0,8050,YES,
J47617,\N,GEN SET GED TLR MTD,0,8050,YES,
J49055,\N,GEN SET 7.5 KW WHLMTD,0,8600,YES,
K24931,\N,HEATER DUCT WHL MTD,0,8104,YES,
K25215,\N,HEATER OIL TLR MTD,0,8055,NO,
K28601,\N,KITCHEN FLD CO LVL,0,\N,YES,
K32293,\N,HELICOPTER UTILITY,3369,8500,YES,
L21437,\N,KETTLE BITUM TLR MTD,0,6063,NO,
L28351,\N,KITCHEN FIELD TLR MTD,3000,6063,NO,
L33800,\N,LAB PETRL STLR MTD,0,6067,NO,
L43664,\N,LCHR BRIDGE TANK MTD,0,6980,YES,
L44894,\N,LAUNCHER ROCKET VEH MTD,0,8043,YES,
L48315,\N,LAUNDRY UNIT TLR MTD,200,8104,YES,
L67342,\N,LAUNCHR M/CLRG TLRMTD,0,8055,NO,
L69306,\N,LOS RADIO TERMINAL,0,\N,NO,
L69442,\N,LOS RADIO TERMINAL,0,\N,NO,
L76315,\N,LOADER SCOOP TYPE WHL,0,8056,YES,
L76321,\N,LOADER SCOOP TYPE WHL,0,8056,YES,
L76556,\N,LOADER SCOOP TYPE WHL,0,8056,YES,
L85283,\N,LUB SVC UNIT TLR MTD,0,8054,YES,
M04268,\N,MANAGEMENT FACILITY,0,\N,NO,
M21948,\N,MASTER CONTROL SET,0,\N,NO,
M68405,\N,MORTAR 120 MM,0,\N,NO,
P11866,\N,PNEU TL&COMP TLR MTD,0,8104,YES,
P28015,\N,POWER PLANT TLR MTD,0,8055,YES,
P28083,\N,POWER PLANT TRLR MTD,0,\N,YES,
P28151,\N,POWER PLANT TLR MTD,0,\N,YES,
P42262,\N,POWER PLANT TLR MTD,0,\N,YES,
P44627,\N,POWER UNI AUX AVN,0,6069,YES,
P97051,\N,PUMP FLMB LIQ WHLMTD,0,8104,YES,
P97119,\N,PUMP ASSY W/REGULATOR,0,\N,YES,
R11154,\N,RAMP LOAD VEHICLE,0,6032,NO,
R50544,\N,RECOVERY VEH FTRAC,2000,8005,YES,
R50681,\N,RECOVERY VEH FTRAC,2000,6980,YES,
S10059,\N,STLR TANK FUEL 5000 G,35000,6965,YES,
S11711,\N,ROLLER MTZ STEEL WHL,0,3026,NO,
S12916,\N,ROLLER VIBRATORY,0,8086,YES,
S30914,\N,SHOP EQPT GP TRK MTD,0,M988,NO,
S30982,\N,SHOP EQPT GP TRK MTD,0,8000,NO,
S37228,\N,SWITCHING GROUP,0,\N,NO,
S47921,\N,SPARES FACILITY,0,\N,NO,
S56246,\N,SCRAPER EARTH MVG SP,0,6100,YES,
S70027,\N,STLR FLATBED 22 1/2 T,45000,6965,NO,
S70159,\N,STLR FLATBED 34-TON,68000,8133,NO,
S70243,\N,STLR LOW BED WKR 12 T,30000,8035,NO,
S70517,\N,STLR LOW BED 15-25 T,50000,8035,NO,
S70594,\N,STLR LOW BED 40 TON,80000,8084,NO,
S70859,\N,STLR LOWBED 70-TON,140000,\N,NO,
S72983,\N,STLR TANK FSVC 5000 G,35000,8035,NO,
S73372,\N,STLR TK 5000 GAL AUTO,35000,6965,YES,
S74079,\N,STLR VAN CARGO 12 TON,24000,8035,NO,
S74216,\N,STLR VAN ELCT 3-6 TON,12000,6965,NO,
S74490,\N,STLR VAN EXP 6 TON(A),12000,6965,NO,
S74832,\N,STLR VAN RPR PT STOR,12000,6965,NO,
S75038,\N,STLR VAN SHOP 6 TON,12000,6065,NO,
S75175,\N,STLR VAN SUPPLY 12TON,24000,8035,NO,
T07543,\N,TRUCK UTILITY 4X4,3331,8000,YES,
T07679,7K,"TRK UTIL,  HVY HMMWV",4400,L988,YES,
T10138,\N,SHOP EQUIP TRK MTD,100,L988,YES,
T10275,\N,SHOP EQUIP STLR MTD,0,\N,NO,
T10549,\N,SHOP EQUIP STLR MTD,0,6065,YES,
T13152,\N,SHOP EQUIP ORG TRKMTD,100,M988,NO,
T13168,\N,TANK COMBAT FTRAC,7080,\N,YES,
T16988,\N,SHOP EQUIP TLR MTD,0,8104,NO,
T30377,\N,TOOL OUTFIT TLR MTD,0,8074,NO,
T33786,\N,TRACTOR WHEELED DED,0,8000,YES,
T38844,\N,TRK AMB 4 LITTER 4X4,1215,L988,YES,
T39518,\N,TRUCK CARGO 10T 8X8,20000,8132,YES,
T39586,\N,"TRUCK CARG0,  TACT,  HEMTT",20000,8132,YES,
T39654,\N,"TRUCK CARG0,  TACT,  HEMTT",20000,8132,YES,
T40999,\N,TRK CGO HVY PLS TRANS 15-16.5T 10X,33000,8000,YES,
T41067,\N,TRK CGO HVY PLS TRANS 15-16.5T 10X,33000,8000,YES,
T41135,\N,TRK CARGO: MTV W/EQUIP,10000,\N,YES,
T42725,\N,TRUCK CONCRETE MOB MX,0,M988,YES,
T45465,\N,TRAILER FLATBED 11 T,22000,6067,NO,
T48941,\N,TRUCK LIFT FRK DED RT,0,8601,YES,
T48944,\N,TRK F/LIFT R/T VAR REACH 6000 K,0,8000,YES,
T49096,\N,TRUCK LIFT FORK DED,0,8000,YES,
T49119,\N,TRUCK FRK RT 5T,0,8003,YES,
T49255,\N,TRUCK LIFT FORK DED,0,6054,YES,
T58161,\N,TRUCK TANK FUEL 8X8,17500,M988,YES,
T59048,\N,TRK TRACTOR HET,0,8000,YES,
T59278,\N,TRUCK CARGO 10 T 8X8,20000,8132,YES,
T60081,\N,TRK CARGO LMTV W/EQP,5000,\N,YES,
T60149,\N,TRK CARGO: LMTV W/EQUIP,5000,\N,NO,
T60353,\N,TRK TRAC HYD 5TH WHL,0,M988,YES,
T61103,\N,TRUCK TRACTOR 6X4,0,M988,YES,
T61171,\N,TRUCK TRACTOR 8X6,0,M988,YES,
T61239,\N,TRK TRACTOR: MTV W/EQUIP,0,\N,NO,
T61494,\N,TRK UTIL CRG/TRP CARR,2500,L988,YES,
T61562,\N,TRK UTIL CGO/TRP CARR,2500,L988,YES,
T61704,\N,TRK CARGO MTV W/EQP,10000,\N,NO,
T61772,\N,TRK CARGO MTV W/EQP,10000,\N,YES,
T61908,\N,TRK CGO MTV W/EQP,10000,\N,YES,
T63093,\N,TRUCK WRECKER 8X8,200,8132,YES,
T73645,\N,TRUCK FORK LIFT,0,\N,YES,
T87243,\N,TRK TANK 2500 GAL,17500,8132,YES,
T91656,7K,TRUCK TRACTOR 6X6,0,M988,YES,
T92242,\N,TRK UTILITY 1-1/4 TON,2096,L988,YES,
T92310,\N,TRK UTILITY 1-1/4 TON,2096,L988,YES,
T93484,\N,TRK VAN LMTV W/EQP,5000,\N,NO,
T93761,\N,TRAILER PLS 16 1/2TON,33000,8000,NO,
T94709,\N,TRK WRECKER MTV W/EQP,0,\N,NO,
T96838,\N,TRLR FLATBED 7-1/2 T,10000,8000,NO,
T96883,\N,TRAILER FLATBED 5 TON,10000,\N,NO,
U12063,\N,SPREADER AGGR TWD 8FT,0,6063,NO,
U76871,\N,SWEEPER ROTARY TOWED,0,8114,YES,
W35417,\N,WTR PRFCN EQ SET,0,8093,NO,
W47225,\N,WATER PURIF TLR MTD,0,\N,NO,
W58486,\N,TOOL OUTFIT PIONEER,0,6063,NO,
W76473,\N,TRACTOR FTRAC HS ARM,0,3078,YES,
W76816,7W,TRACTOR FTRAC LS DED,0,3078,NO,
W83529,7W,TRACTOR FTRAC LS DED,0,3078,NO,
W88699,\N,TRACTOR FTRAC LS DED,0,3079,YES,
W91074,\N,TRACTOR WHL IND (CCE),0,8066,YES,
W93995,\N,TRAILER ACFT MAINT,0,8068,NO,
W95537,\N,TRAILER CARGO 3/4 TON,1500,6063,NO,
W95811,\N,TRAILER CARGO 1-1/2 T,3000,6063,NO,
W98825,\N,TRAILER TANK WATER,3700,6063,NO,
X23227,\N,TRANSPORTER AIRMOBILE,5000,M988,NO,
X40009,\N,TRK CARGO 2-1/2-TON,5000,M988,YES,
X40077,\N,TRK CGO D/S 2-1/2-TON,5000,M988,YES,
X40146,\N,TRUCK CARGO 2-1/2-TON,5000,M988,YES,
X40283,\N,TRK CGO 2-1/2T XLWB,5000,M988,YES,
X40420,\N,TRK CGO 2-1/2T XLWB,5000,M988,YES,
X40794,\N,TRK CGO D/S 5 TON,10000,M988,YES,
X40831,\N,TRK CGO 5 TON LWB,10000,M988,YES,
X40931,\N,TRK CGO D/S 5 TON,10000,M988,YES,
X40968,\N,TRK CGO 5 TON LWB,10000,M988,YES,
X41105,\N,TRK CGO 5 TON XLWB,10000,M988,YES,
X43708,\N,TRUCK DUMP 5 TON,10000,M988,YES,
X44403,7W,TRUCK DUMP 20 TON DED,40000,8087,YES,
X48914,\N,TRK LIFT FRK RT 3 T,0,8003,YES,
X49051,\N,TRK LIFT FRK RT 5 T,0,8003,YES,
X57271,\N,TRUCK TANK FS 2-1/2 T,0,M988,YES,
X59326,\N,TRUCK TRACTOR 5 TON,0,M988,YES,
X59463,\N,TRUCK TRACTOR 5 TON,0,M988,YES,
X62237,\N,TRUCK VAN EXP 5-TON,10000,M988,YES,
X62271,\N,TRUCK VAN EXP 5-TON,10000,M988,YES,
X62340,\N,TRK VAN SHOP 2-1/2 TON,5000,M988,YES,
X62477,\N,TRK VAN SHOP 2-1/2 TON,5000,M988,YES,
X63299,\N,TRUCK WRECKER 5 TON,100,M988,YES,
Y48323,\N,WELDING SHOP TLR MTD,0,8050,NO,
Z12353,\N,SMALL EXTENSION NODE SWITCH,0,\N,NO,
Z13713,\N,PWR PLANT TRLR MTD,0,\N,NO,
Z24079,\N,SWITCHING GROUP,0,\N,NO,
Z36068,\N,TRAILER CARGO 2 1/2T,5000,\N,NO,
Z36272,\N,TLR CGO HIMOB 3/4-TON,2000,\N,NO,
Z43728,\N,MOB INTERGTED TAC TML,0,\N,NO,
Z62630,\N,TRUCK UTILITY EXP CAP,0,\N,NO,
Z71517,\N,OPERATIONS GROUP,0,\N,NO,
Z90381,\N,TOWING DEVICE,0,\N,NO,
Z90712,\N,TRLR CGO MTV W/DPSIDE,10000,8000,NO,
Z94047,\N,TRUCK TANK,0,8000,NO,
Z94560,\N,TRUCK VAN: EXPANSIBLE,0,8000,NO,
